Contract_No,flag_normalised,upcoming_pdi_type,pdi_contracts_status,run_date
395452,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
417103,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
422068,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
422581,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
426326,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
431029,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
433278,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
433294,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
434232,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
442157,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
442794,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
444922,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
259680,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
304797,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
335297,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
365399,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
366971,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
384440,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
392177,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
393733,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
401133,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
402635,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
403281,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
406859,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
410602,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
413298,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
419588,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
420550,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
422761,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
427141,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
428172,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
428685,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
429374,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
437914,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
